,Tokino Sora
,Roboco-san
,Hoshimachi Suisei
,AZKi
,Haachama
,Shirakami Fubuki
,Aki Rosenthal
,Natsuiro Matsuri
,Minato Aqua
,Murasaki Shion
,Nakiri Ayama
,Oozora Subaru
,Yuzuki Choco
,Ookami Mio
,Nekomata Okayu
Korone Ch. 戌神ころね,Inugami Korone
Marine Ch. 宝鐘マリン,Houshou Marine
,Usada Pekora
,Shiranui Flare
,Shirogane Noel
,Kiryu Coco
,Amane Kanata
,Tsunomaki Watame
,Himemori Luna
,Momosuzu Nene
,Omaru Polka
,Yukihana Lamy
,Shishiro Botan
Laplus ch. ラプラス・ダークネス - holoX -,La+ Darknesss
Lui ch. 鷹嶺ルイ - holoX -,Takane Lui
,Hakui Koyori
,Sakamata Chloe
,Kazama Iroha
Airani Iofifteen Channel hololive-ID,Airani Iofifteen
,Moona Hoshinova
,Ayunda Risu
,Kureiji Ollie
,Anya Melfissa
,Pavolia Reine
,Kobo Kanaeru
,Mori Calliope
,Gawr Gura
,Amelia Watson
,Takanashi Kiara
,Ninomae Inanis
,IRyS
,Hakos Baelz
,Ouro Kronii
,Ceres Fauna
,Nanashi Mumei
,Tsukumo Sana
,Shiori Novella
,Nerissa Ravencroft
,Koseki Bijou
,FuwaMoco Abyssgard
,Ichijo Ririka
,Hiodoshi Ao
,Jufuutei Raden
Hajime Ch. 轟はじめ ‐ ReGLOSS,Todoroki Hajime
,Otonase Kanade
,Hanasaki Miyabi
,Kanade Izuru
,Arurandeisu
,Rikkaroid
,Astel Leda
,Kishido Temma
,Yukoku Roberi
,Kageyama Shien
,Aragami Oga
,Yatogami Fuma
,Utsugi Uyu
,Hizaki Gamma
,Minase Rio
,Regis Altare
,Axel Syrios
,Vesper Noir
,Magni Dezmond
,Gavis Bettel
,Machina x Flayon
,Banzoin Hakka
,Josuiji Shinri
,Jurard T Rexford
,Goldbullet
,Octavio
,Crimson Ruze
